phase,fold_id,field,unit,n,mean,median,p95_nearest_rank,minimum,maximum,sum,role
TIMED,ALL_FOLDS,sample_inclusive_ns,ns,810,223064.3777777778,215313.0,264667,191583,435000,180682146,DESCRIPTIVE_ALL_PLANNED_PASSES_NO_SELECTION
TIMED,ALL_FOLDS,ipc_request_response_inclusive_ns,ns,810,254689.63703703703,244875.0,304625,210625,893500,206298606,DESCRIPTIVE_ALL_PLANNED_PASSES_NO_SELECTION
TIMED,LOEO-v1-01,cached_input_read_parse_ns,ns,135,94424.39259259259,91542,113833,79292,247709,12747293,DESCRIPTIVE_ALL_PLANNED_PASSES_NO_SELECTION
TIMED,LOEO-v1-01,fixed_feature_conversion_ns,ns,135,60086.37777777778,59041,72083,51708,93000,8111661,DESCRIPTIVE_ALL_PLANNED_PASSES_NO_SELECTION
TIMED,LOEO-v1-01,predict_including_explanation_and_model_integrity_ns,ns,135,74699.67407407408,73250,85875,66708,156375,10084456,DESCRIPTIVE_ALL_PLANNED_PASSES_NO_SELECTION
TIMED,LOEO-v1-01,semantic_verification_ns,ns,135,1805.2222222222222,1667,2667,1125,3416,243705,DESCRIPTIVE_ALL_PLANNED_PASSES_NO_SELECTION
TIMED,LOEO-v1-01,prediction_serialization_ns,ns,135,12325.592592592593,12125,14458,10667,17166,1663955,DESCRIPTIVE_ALL_PLANNED_PASSES_NO_SELECTION
TIMED,LOEO-v1-01,sample_inclusive_ns,ns,135,246293.53333333333,242542,285750,212917,410833,33249627,DESCRIPTIVE_ALL_PLANNED_PASSES_NO_SELECTION
TIMED,LOEO-v1-01,ipc_request_response_inclusive_ns,ns,135,279393.2074074074,274334,321250,234083,471417,37718083,DESCRIPTIVE_ALL_PLANNED_PASSES_NO_SELECTION
TIMED,LOEO-v1-02,cached_input_read_parse_ns,ns,90,95818.47777777778,93937.5,111916,83166,177125,8623663,DESCRIPTIVE_ALL_PLANNED_PASSES_NO_SELECTION
TIMED,LOEO-v1-02,fixed_feature_conversion_ns,ns,90,62756.87777777778,59458.0,78042,54625,200292,5648119,DESCRIPTIVE_ALL_PLANNED_PASSES_NO_SELECTION
