row_index,session_id,consistency_native_web_model_ua_strength,consistency_native_web_model_ua_match,consistency_native_web_android_version_match,consistency_native_web_android_version_delta,consistency_native_web_screen_width_error_ratio,consistency_native_web_screen_height_error_ratio,consistency_native_web_screen_max_error_ratio,consistency_native_web_screen_score,consistency_native_web_screen_consistent_10pct,consistency_native_web_cpu_platform_match,consistency_native_web_cpu_platform_known,consistency_native_web_gpu_family_score,consistency_native_web_gpu_family_match,consistency_native_web_gpu_software_or_desktop,consistency_native_web_touch_mobile_match,consistency_native_web_memory_delta_gb,consistency_native_web_memory_score,consistency_native_web_desktop_or_bot_ua,consistency_native_webview_agent_model_match,consistency_native_webview_agent_android_version_match,consistency_native_webview_agent_android_version_delta,consistency_native_webview_bridge_injected,consistency_native_webview_package_expected,consistency_native_webview_installer_official_like,consistency_native_webview_installer_manual,consistency_native_webview_debug_cleartext_tension,consistency_webview_web_chrome_major_match,consistency_webview_web_chrome_major_delta,consistency_webview_web_ua_has_wv_token,consistency_webview_web_bridge_mobile_runtime_match,consistency_webview_web_non_browser_ua,consistency_tri_layer_core_integrity_pass,consistency_tri_layer_sensor_bridge_fail,consistency_tri_layer_manual_timezone_or_adb,consistency_tri_layer_adb_full_battery_signal,consistency_tri_layer_official_installer_core_pass,consistency_tri_layer_mean_match_score,consistency_tri_layer_failure_count,llm_label.risk_score
739,d226cf39-3f8a-400f-9d5c-3ad73b7ff4da,1.0,1.0,1.0,0.0,0.0,0.10638297872340426,0.10638297872340426,0.46808510638297873,0.0,1.0,1.0,0.85,1.0,0.0,1.0,0.8966636657714844,0.7758340835571289,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.8863475177304965,2.0,45
740,ff69896d-af04-4c89-9c17-fb2e9e542713,1.0,1.0,1.0,0.0,0.001388888888888889,0.10481830726770928,0.10481830726770928,0.47590846366145356,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.3547210693359375,0.6613197326660156,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.9126514106102422,2.0,42
741,0d5d1409-8993-47c1-afcf-72bb9379dbbc,1.0,1.0,1.0,0.0,0.0006944444444444445,0.09375,0.09375,0.53125,1.0,1.0,1.0,0.85,1.0,0.0,1.0,0.6311912536621094,0.8422021865844727,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.896875,1.0,45
742,1184bdd4-4d67-4702-bc9b-3d0f5286cbe0,1.0,1.0,1.0,0.0,0.0006944444444444445,0.10277905374368397,0.10277905374368397,0.48610473128158016,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.43477630615234375,0.8913059234619141,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.9143507885469301,2.0,42
743,885dde70-df8f-41f8-b133-883c9b791c5e,1.0,1.0,1.0,0.0,0.0026041666666666665,0.08559322033898305,0.08559322033898305,0.5720338983050848,1.0,1.0,1.0,0.85,1.0,0.0,1.0,0.2830238342285156,0.9292440414428711,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.9036723163841808,1.0,42
744,ac51c71e-0e37-4bfb-8f0d-30a4ecd15f7f,1.0,1.0,1.0,0.0,0.0,0.10638297872340426,0.10638297872340426,0.46808510638297873,0.0,1.0,1.0,0.85,1.0,0.0,1.0,0.8966636657714844,0.7758340835571289,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.8863475177304965,2.0,45
745,c0f3fe98-c6ce-4fd3-b160-f23aa04eebf3,1.0,1.0,1.0,0.0,0.0020161290322580645,0.10665869218500798,0.10665869218500798,0.4667065390749602,0.0,1.0,1.0,1.0,1.0,0.0,1.0,6.864418029785156,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.9111177565124934,2.0,38
746,a3da4c07-0034-4a7a-abed-12916f7e13f4,1.0,1.0,1.0,0.0,0.0020161290322580645,0.10665869218500798,0.10665869218500798,0.4667065390749602,0.0,1.0,1.0,1.0,1.0,0.0,1.0,6.864418029785156,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.9111177565124934,2.0,42
747,6ced6484-4e45-4a37-b711-c02c085919e0,1.0,1.0,1.0,0.0,0.0006944444444444445,0.09375,0.09375,0.53125,1.0,1.0,1.0,0.85,1.0,0.0,1.0,0.6311912536621094,0.8422021865844727,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.896875,1.0,45
748,c17ce891-0795-4e10-bb46-5c9d8b017603,1.0,1.0,1.0,0.0,0.0006944444444444445,0.10277905374368397,0.10277905374368397,0.48610473128158016,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.435760498046875,0.8910598754882812,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.9143507885469301,2.0,42
749,dba97edf-46dd-4a56-8e31-fa0468ffd514,1.0,1.0,1.0,0.0,0.0020161290322580645,0.10665869218500798,0.10665869218500798,0.4667065390749602,0.0,1.0,1.0,1.0,1.0,0.0,1.0,6.864418029785156,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.9111177565124934,2.0,42
750,187b495b-f5dc-4982-9378-15265f19d800,1.0,1.0,1.0,0.0,0.0020161290322580645,0.10665869218500798,0.10665869218500798,0.4667065390749602,0.0,1.0,1.0,1.0,1.0,0.0,1.0,6.864421844482422,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.9111177565124934,2.0,42
751,070a1980-2928-43de-80d5-7fd12b16cdef,1.0,1.0,1.0,0.0,0.0,0.10638297872340426,0.10638297872340426,0.46808510638297873,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0848426818847656,0.7287893295288086,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.9113475177304965,2.0,45
752,058fdf5d-1ad8-47f2-b383-d5285f62b256,1.0,1.0,1.0,0.0,0.0,0.114723641430562,0.114723641430562,0.42638179284719,0.0,1.0,1.0,0.85,1.0,0.0,1.0,0.5975456237792969,0.8506135940551758,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.8793969654745316,2.0,42
753,b61acdd7-a19a-4bce-ae54-e56852670020,1.0,1.0,1.0,0.0,0.0,0.10294117647058823,0.10294117647058823,0.4852941176470589,0.0,1.0,1.0,0.85,1.0,0.0,1.0,0.9718894958496094,0.7570276260375977,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.8892156862745099,2.0,40
754,d69d07a2-1048-47a1-b6cb-d4169e421fae,1.0,1.0,1.0,0.0,0.0,0.114723641430562,0.114723641430562,0.42638179284719,0.0,1.0,1.0,0.85,1.0,0.0,1.0,0.5975456237792969,0.8506135940551758,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.8793969654745316,2.0,42
755,727eb5b4-aa0c-4d7c-aceb-58623b3eaa76,1.0,1.0,1.0,0.0,0.0026041666666666665,0.08559322033898305,0.08559322033898305,0.5720338983050848,1.0,1.0,1.0,0.85,1.0,0.0,1.0,0.2830238342285156,0.9292440414428711,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.9036723163841808,1.0,40
756,d175cb02-eac0-44e2-a4fd-89f50649a3b4,1.0,1.0,1.0,0.0,0.0026041666666666665,0.08559322033898305,0.08559322033898305,0.5720338983050848,1.0,1.0,1.0,0.85,1.0,0.0,1.0,0.2830238342285156,0.9292440414428711,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.9036723163841808,1.0,42
757,3b28bbc8-6a62-4e9a-9a55-0eaa4a977e17,1.0,1.0,1.0,0.0,0.0020161290322580645,0.10665869218500798,0.10665869218500798,0.4667065390749602,0.0,1.0,1.0,1.0,1.0,0.0,1.0,6.864418029785156,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.9111177565124934,2.0,45
758,2e7cafe9-a4c8-4eeb-81ef-ae2441f875b9,1.0,1.0,1.0,0.0,0.0,0.114723641430562,0.114723641430562,0.42638179284719,0.0,1.0,1.0,0.85,1.0,0.0,1.0,0.5975456237792969,0.8506135940551758,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.8793969654745316,2.0,45
759,f80758c3-56d6-417f-90a5-3da1b4c5345e,1.0,1.0,1.0,0.0,0.0,0.10638297872340426,0.10638297872340426,0.46808510638297873,0.0,1.0,1.0,0.85,1.0,0.0,1.0,0.8966636657714844,0.7758340835571289,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.8863475177304965,2.0,42
760,57427792-426c-48ba-924c-14d725a03faf,1.0,1.0,1.0,0.0,0.001388888888888889,0.10481830726770928,0.10481830726770928,0.47590846366145356,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.3547210693359375,0.6613197326660156,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.9126514106102422,2.0,42
761,bc34eb74-097e-4922-8aa9-e80c31a65822,1.0,1.0,1.0,0.0,0.0006944444444444445,0.09375,0.09375,0.53125,1.0,1.0,1.0,0.85,1.0,0.0,1.0,0.6311912536621094,0.8422021865844727,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.896875,1.0,45
762,fe35db7d-a155-47c2-9283-98342910caca,1.0,1.0,1.0,0.0,0.0020161290322580645,0.10665869218500798,0.10665869218500798,0.4667065390749602,0.0,1.0,1.0,1.0,1.0,0.0,1.0,6.864418029785156,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.9111177565124934,2.0,42
763,57daa4a5-d220-4e0e-a878-2c51e66e65fd,1.0,1.0,1.0,0.0,0.001388888888888889,0.10481830726770928,0.10481830726770928,0.47590846366145356,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.3547210693359375,0.6613197326660156,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.9126514106102422,2.0,45
764,f4838f39-a0d7-4540-8065-353f697df206,1.0,1.0,1.0,0.0,0.0,0.09807602064758329,0.09807602064758329,0.5096198967620835,1.0,1.0,1.0,0.85,1.0,0.0,1.0,0.896484375,0.77587890625,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.8932699827936806,1.0,35
765,217d83e6-108f-4297-871d-4aeab7299704,1.0,1.0,1.0,0.0,0.0006944444444444445,0.09375,0.09375,0.53125,1.0,1.0,1.0,0.85,1.0,0.0,1.0,0.6311912536621094,0.8422021865844727,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.896875,1.0,45
766,4e9a2934-b073-4ee2-8d28-636dceafeb93,1.0,1.0,1.0,0.0,0.0026041666666666665,0.08559322033898305,0.08559322033898305,0.5720338983050848,1.0,1.0,1.0,0.85,1.0,0.0,1.0,0.2830238342285156,0.9292440414428711,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.9036723163841808,1.0,42
767,b30b44dd-1b1c-4a0e-b850-f0b9dd066dbd,1.0,1.0,1.0,0.0,0.0020161290322580645,0.10665869218500798,0.10665869218500798,0.4667065390749602,0.0,1.0,1.0,1.0,1.0,0.0,1.0,6.864418029785156,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.9111177565124934,2.0,42
768,245d877b-c1cc-460f-90d9-63d62df20187,1.0,1.0,1.0,0.0,0.001388888888888889,0.10481830726770928,0.10481830726770928,0.47590846366145356,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.3547210693359375,0.6613197326660156,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.9126514106102422,2.0,45
769,265b648b-a80f-4af5-8de7-983bfce1ec06,1.0,1.0,1.0,0.0,0.001388888888888889,0.10481830726770928,0.10481830726770928,0.47590846366145356,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.3547210693359375,0.6613197326660156,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.9126514106102422,2.0,45
770,1fb88f92-862f-48cf-8b23-0d99cfc62576,1.0,1.0,1.0,0.0,0.0,0.09807602064758329,0.09807602064758329,0.5096198967620835,1.0,1.0,1.0,0.85,1.0,0.0,1.0,0.8946418762207031,0.7763395309448242,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.8932699827936806,1.0,38
771,fe9307d2-586d-49bf-9fbe-eebaad840c22,1.0,1.0,1.0,0.0,0.0006944444444444445,0.10277905374368397,0.10277905374368397,0.48610473128158016,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.435760498046875,0.8910598754882812,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.9143507885469301,2.0,45
